state,year,week,date2,deaths,date,month
Alaska,2015,52,01/02/2016,97,2016-01-02T05:00:00Z,1
Alaska,2016,1,01/09/2016,81,2016-01-09T05:00:00Z,1
Alaska,2016,2,01/16/2016,79,2016-01-16T05:00:00Z,1
Alaska,2016,3,01/23/2016,81,2016-01-23T05:00:00Z,1
Alaska,2016,4,01/30/2016,98,2016-01-30T05:00:00Z,1
Alaska,2016,5,02/06/2016,77,2016-02-06T05:00:00Z,2
Alaska,2016,6,02/13/2016,91,2016-02-13T05:00:00Z,2
Alaska,2016,7,02/20/2016,74,2016-02-20T05:00:00Z,2
Alaska,2016,8,02/27/2016,57,2016-02-27T05:00:00Z,2
Alaska,2016,9,03/05/2016,85,2016-03-05T05:00:00Z,3
Alaska,2016,10,03/12/2016,85,2016-03-12T05:00:00Z,3
Alaska,2016,11,03/19/2016,82,2016-03-19T04:00:00Z,3
Alaska,2016,12,03/26/2016,80,2016-03-26T04:00:00Z,3
Alaska,2016,13,04/02/2016,81,2016-04-02T04:00:00Z,4
Alaska,2016,14,04/09/2016,76,2016-04-09T04:00:00Z,4
Alaska,2016,15,04/16/2016,88,2016-04-16T04:00:00Z,4
Alaska,2016,16,04/23/2016,84,2016-04-23T04:00:00Z,4
Alaska,2016,17,04/30/2016,81,2016-04-30T04:00:00Z,4
Alaska,2016,18,05/07/2016,73,2016-05-07T04:00:00Z,5
